"Windenergie; elektriciteitsproductie, capaciteit en windaanbod, 2002-2019"
""
""
"Onderwerp";"Capaciteit van windmolens|Vermogen van windmolens";"Capaciteit van windmolens|Vermogen van windmolens";"Capaciteit van windmolens|Rotoroppervlakte van windmolens";"Capaciteit van windmolens|Rotoroppervlakte van windmolens"
"Op land/ op zee";"Windenergie op land";"Windenergie op zee";"Windenergie op land";"Windenergie op zee"
"Perioden";"MW-elektrisch";"MW-elektrisch";"1 000 m2";"1 000 m2"
"2002";"672";"";"1608";""
"2003";"905";"";"2148";""
"2004";"1075";"";"2533";""
"2005";"1224";"";"2869";""
"2006";"1453";"108";"3334";"229"
"2007";"1641";"108";"3773";"229"
"2008";"1921";"228";"4338";"530"
"2009";"1994";"228";"4475";"530"
"2010";"2009";"228";"4502";"530"
"2011";"2088";"228";"4660";"530"
"2012";"2205";"228";"4909";"530"
"2013";"2485";"228";"5658";"530"
"2014";"2637";"228";"6018";"530"
"2015";"3034";"357";"6953";"954"
"2016";"3300";"957";"7663";"2944"
"2017";"3245";"957";"7605";"2944"
"2018**";"3436";"957";"8199";"2944"
"Bron: CBS"
